-----------  Configuration Arguments -----------
adam_epsilon: 1e-06
batch_size: 16
device: gpu
learning_rate: 4e-05
logging_steps: 10
lr_scheduler: 1
max_seq_length: 128
max_steps: -1
model_name_or_path: /home/xianglingyang/pretrained_models/paddle/squeezebert
model_type: squeezebert
num_train_epochs: 5
output_dir: ./tmp/QQP/
save_steps: 2000
seed: 5
task_name: QQP
warmup_proportion: 0
warmup_steps: 0
weight_decay: 0.0
------------------------------------------------
2021-08-19 15:45:45,295-INFO: unique_endpoints {''}
2021-08-19 15:45:46,298-INFO: unique_endpoints {''}
W0819 15:45:46.408764 31020 device_context.cc:404] Please NOTE: device: 0, GPU Compute Capability: 5.2, Driver API Version: 10.1, Runtime API Version: 10.1
W0819 15:45:46.413388 31020 device_context.cc:422] device: 0, cuDNN Version: 7.6.
[32m[2021-08-19 15:45:50,572] [    INFO][0m - Weights of SqueezeBertForSequenceClassification not initialized from pretrained model: ['classifier.weight', 'classifier.bias'][0m
global step 990/113705, epoch: 0, batch: 989, rank_id: 0, loss: 0.170735, lr: 0.0000396517, speed: 4.0657 step/s
global step 1000/113705, epoch: 0, batch: 999, rank_id: 0, loss: 0.189085, lr: 0.0000396482, speed: 4.8403 step/s
global step 1010/113705, epoch: 0, batch: 1009, rank_id: 0, loss: 0.335552, lr: 0.0000396447, speed: 4.8493 step/s
global step 1020/113705, epoch: 0, batch: 1019, rank_id: 0, loss: 0.488968, lr: 0.0000396412, speed: 4.5019 step/s
global step 1030/113705, epoch: 0, batch: 1029, rank_id: 0, loss: 0.357836, lr: 0.0000396377, speed: 4.6419 step/s
global step 1040/113705, epoch: 0, batch: 1039, rank_id: 0, loss: 0.586396, lr: 0.0000396341, speed: 4.4333 step/s
global step 1050/113705, epoch: 0, batch: 1049, rank_id: 0, loss: 0.384977, lr: 0.0000396306, speed: 4.4421 step/s
global step 1060/113705, epoch: 0, batch: 1059, rank_id: 0, loss: 0.405478, lr: 0.0000396271, speed: 4.8313 step/s
global step 1070/113705, epoch: 0, batch: 1069, rank_id: 0, loss: 0.487341, lr: 0.0000396236, speed: 4.4451 step/s
global step 1080/113705, epoch: 0, batch: 1079, rank_id: 0, loss: 0.303179, lr: 0.0000396201, speed: 4.5841 step/s
global step 1090/113705, epoch: 0, batch: 1089, rank_id: 0, loss: 0.240339, lr: 0.0000396166, speed: 4.7605 step/s
global step 1100/113705, epoch: 0, batch: 1099, rank_id: 0, loss: 0.530735, lr: 0.0000396130, speed: 4.3175 step/s
global step 1110/113705, epoch: 0, batch: 1109, rank_id: 0, loss: 0.483885, lr: 0.0000396095, speed: 4.3848 step/s
global step 1120/113705, epoch: 0, batch: 1119, rank_id: 0, loss: 0.535937, lr: 0.0000396060, speed: 4.3685 step/s
global step 1130/113705, epoch: 0, batch: 1129, rank_id: 0, loss: 0.727472, lr: 0.0000396025, speed: 4.4048 step/s
global step 1140/113705, epoch: 0, batch: 1139, rank_id: 0, loss: 0.618273, lr: 0.0000395990, speed: 4.5479 step/s
global step 1150/113705, epoch: 0, batch: 1149, rank_id: 0, loss: 0.230535, lr: 0.0000395954, speed: 4.7695 step/s
global step 1160/113705, epoch: 0, batch: 1159, rank_id: 0, loss: 0.161661, lr: 0.0000395919, speed: 4.6418 step/s
global step 1170/113705, epoch: 0, batch: 1169, rank_id: 0, loss: 0.380037, lr: 0.0000395884, speed: 4.6438 step/s
global step 1180/113705, epoch: 0, batch: 1179, rank_id: 0, loss: 0.521527, lr: 0.0000395849, speed: 4.5909 step/s
global step 1190/113705, epoch: 0, batch: 1189, rank_id: 0, loss: 0.372164, lr: 0.0000395814, speed: 4.6226 step/s
global step 1200/113705, epoch: 0, batch: 1199, rank_id: 0, loss: 0.285139, lr: 0.0000395779, speed: 4.3821 step/s
global step 1210/113705, epoch: 0, batch: 1209, rank_id: 0, loss: 0.327381, lr: 0.0000395743, speed: 4.1184 step/s
global step 1220/113705, epoch: 0, batch: 1219, rank_id: 0, loss: 0.226760, lr: 0.0000395708, speed: 4.5207 step/s
global step 1230/113705, epoch: 0, batch: 1229, rank_id: 0, loss: 0.630320, lr: 0.0000395673, speed: 4.2848 step/s
global step 1240/113705, epoch: 0, batch: 1239, rank_id: 0, loss: 0.476095, lr: 0.0000395638, speed: 4.6424 step/s
global step 1250/113705, epoch: 0, batch: 1249, rank_id: 0, loss: 0.560059, lr: 0.0000395603, speed: 4.6563 step/s
global step 1260/113705, epoch: 0, batch: 1259, rank_id: 0, loss: 0.417524, lr: 0.0000395567, speed: 4.1632 step/s
global step 1270/113705, epoch: 0, batch: 1269, rank_id: 0, loss: 0.408843, lr: 0.0000395532, speed: 4.2859 step/s
global step 1280/113705, epoch: 0, batch: 1279, rank_id: 0, loss: 0.274681, lr: 0.0000395497, speed: 4.3802 step/s
global step 1290/113705, epoch: 0, batch: 1289, rank_id: 0, loss: 0.297963, lr: 0.0000395462, speed: 4.7143 step/s
global step 1300/113705, epoch: 0, batch: 1299, rank_id: 0, loss: 0.257906, lr: 0.0000395427, speed: 4.4854 step/s
global step 1310/113705, epoch: 0, batch: 1309, rank_id: 0, loss: 0.229070, lr: 0.0000395392, speed: 4.4039 step/s
global step 1320/113705, epoch: 0, batch: 1319, rank_id: 0, loss: 0.657390, lr: 0.0000395356, speed: 4.3440 step/s
global step 1330/113705, epoch: 0, batch: 1329, rank_id: 0, loss: 0.413685, lr: 0.0000395321, speed: 4.4364 step/s
global step 1340/113705, epoch: 0, batch: 1339, rank_id: 0, loss: 0.439459, lr: 0.0000395286, speed: 4.3479 step/s
global step 1350/113705, epoch: 0, batch: 1349, rank_id: 0, loss: 0.279037, lr: 0.0000395251, speed: 4.8456 step/s
global step 1360/113705, epoch: 0, batch: 1359, rank_id: 0, loss: 0.560859, lr: 0.0000395216, speed: 4.8008 step/s
global step 1370/113705, epoch: 0, batch: 1369, rank_id: 0, loss: 0.324347, lr: 0.0000395181, speed: 4.7623 step/s
global step 1380/113705, epoch: 0, batch: 1379, rank_id: 0, loss: 0.679865, lr: 0.0000395145, speed: 4.4074 step/s
global step 1390/113705, epoch: 0, batch: 1389, rank_id: 0, loss: 0.997306, lr: 0.0000395110, speed: 4.4198 step/s
global step 1400/113705, epoch: 0, batch: 1399, rank_id: 0, loss: 0.598547, lr: 0.0000395075, speed: 4.5983 step/s
global step 1410/113705, epoch: 0, batch: 1409, rank_id: 0, loss: 0.513199, lr: 0.0000395040, speed: 4.3606 step/s
global step 1420/113705, epoch: 0, batch: 1419, rank_id: 0, loss: 0.306016, lr: 0.0000395005, speed: 4.9442 step/s
global step 1430/113705, epoch: 0, batch: 1429, rank_id: 0, loss: 0.287276, lr: 0.0000394969, speed: 4.6572 step/s
global step 1440/113705, epoch: 0, batch: 1439, rank_id: 0, loss: 0.134876, lr: 0.0000394934, speed: 4.5974 step/s
global step 1450/113705, epoch: 0, batch: 1449, rank_id: 0, loss: 0.404574, lr: 0.0000394899, speed: 4.6190 step/s
global step 1460/113705, epoch: 0, batch: 1459, rank_id: 0, loss: 0.447245, lr: 0.0000394864, speed: 4.4651 step/s
global step 1470/113705, epoch: 0, batch: 1469, rank_id: 0, loss: 0.417278, lr: 0.0000394829, speed: 4.8044 step/s
global step 1480/113705, epoch: 0, batch: 1479, rank_id: 0, loss: 0.206841, lr: 0.0000394794, speed: 4.4944 step/s
global step 1490/113705, epoch: 0, batch: 1489, rank_id: 0, loss: 0.352828, lr: 0.0000394758, speed: 4.6854 step/s
global step 1500/113705, epoch: 0, batch: 1499, rank_id: 0, loss: 0.190336, lr: 0.0000394723, speed: 4.5731 step/s
global step 1510/113705, epoch: 0, batch: 1509, rank_id: 0, loss: 0.724643, lr: 0.0000394688, speed: 4.8471 step/s
global step 1520/113705, epoch: 0, batch: 1519, rank_id: 0, loss: 0.260736, lr: 0.0000394653, speed: 4.9550 step/s
global step 1530/113705, epoch: 0, batch: 1529, rank_id: 0, loss: 0.527975, lr: 0.0000394618, speed: 4.6175 step/s
global step 1540/113705, epoch: 0, batch: 1539, rank_id: 0, loss: 0.316955, lr: 0.0000394582, speed: 4.5804 step/s
global step 1550/113705, epoch: 0, batch: 1549, rank_id: 0, loss: 0.588960, lr: 0.0000394547, speed: 4.7353 step/s
global step 1560/113705, epoch: 0, batch: 1559, rank_id: 0, loss: 0.462965, lr: 0.0000394512, speed: 4.6457 step/s
global step 1570/113705, epoch: 0, batch: 1569, rank_id: 0, loss: 0.625611, lr: 0.0000394477, speed: 4.7437 step/s
global step 1580/113705, epoch: 0, batch: 1579, rank_id: 0, loss: 0.234325, lr: 0.0000394442, speed: 4.5453 step/s
global step 1590/113705, epoch: 0, batch: 1589, rank_id: 0, loss: 0.295159, lr: 0.0000394407, speed: 4.7507 step/s
global step 1600/113705, epoch: 0, batch: 1599, rank_id: 0, loss: 0.379443, lr: 0.0000394371, speed: 5.1036 step/s
global step 1610/113705, epoch: 0, batch: 1609, rank_id: 0, loss: 0.308226, lr: 0.0000394336, speed: 4.7523 step/s
global step 1620/113705, epoch: 0, batch: 1619, rank_id: 0, loss: 0.569050, lr: 0.0000394301, speed: 4.6529 step/s
global step 1630/113705, epoch: 0, batch: 1629, rank_id: 0, loss: 0.475167, lr: 0.0000394266, speed: 4.4811 step/s
global step 1640/113705, epoch: 0, batch: 1639, rank_id: 0, loss: 0.355105, lr: 0.0000394231, speed: 4.4250 step/s
global step 1650/113705, epoch: 0, batch: 1649, rank_id: 0, loss: 0.297806, lr: 0.0000394196, speed: 4.1344 step/s
global step 1660/113705, epoch: 0, batch: 1659, rank_id: 0, loss: 0.285499, lr: 0.0000394160, speed: 4.7784 step/s
global step 1670/113705, epoch: 0, batch: 1669, rank_id: 0, loss: 0.556163, lr: 0.0000394125, speed: 4.5124 step/s
global step 1680/113705, epoch: 0, batch: 1679, rank_id: 0, loss: 0.401626, lr: 0.0000394090, speed: 4.4997 step/s
global step 1690/113705, epoch: 0, batch: 1689, rank_id: 0, loss: 0.518576, lr: 0.0000394055, speed: 4.4756 step/s
global step 1700/113705, epoch: 0, batch: 1699, rank_id: 0, loss: 0.195388, lr: 0.0000394020, speed: 4.9180 step/s
global step 1710/113705, epoch: 0, batch: 1709, rank_id: 0, loss: 0.359352, lr: 0.0000393984, speed: 4.4309 step/s
global step 1720/113705, epoch: 0, batch: 1719, rank_id: 0, loss: 0.260747, lr: 0.0000393949, speed: 4.9585 step/s
global step 1730/113705, epoch: 0, batch: 1729, rank_id: 0, loss: 0.416629, lr: 0.0000393914, speed: 4.6357 step/s
global step 1740/113705, epoch: 0, batch: 1739, rank_id: 0, loss: 0.267229, lr: 0.0000393879, speed: 4.0187 step/s
global step 1750/113705, epoch: 0, batch: 1749, rank_id: 0, loss: 0.427586, lr: 0.0000393844, speed: 4.2588 step/s
